Entity,Relationship,Value
Findings suggestive of acute meningitis or encephalitis (Disease or Syndrome) (Meningitis-Encephalitis_Panel_Algorithm),requires,Evaluation for CSF sample (Diagnostic Procedure)
No CSF sample (Finding) (Meningitis-Encephalitis_Panel_Algorithm),requires,Blood cultures (Diagnostic Procedure)
No CSF sample (Finding) (Meningitis-Encephalitis_Panel_Algorithm),prompts,Infectious Diseases or Neurology consultation (Health Care Activity)
Lumbar puncture (Diagnostic Procedure) (Meningitis-Encephalitis_Panel_Algorithm),obtains,CSF sample (Specimen)
CSF sample (Specimen) (Meningitis-Encephalitis_Panel_Algorithm),undergoes,Cell count and differential (Diagnostic Procedure)
CSF sample (Specimen) (Meningitis-Encephalitis_Panel_Algorithm),undergoes,Protein and glucose measurement (Diagnostic Procedure)
CSF sample (Specimen) (Meningitis-Encephalitis_Panel_Algorithm),undergoes,Gram stain (Diagnostic Procedure)
CSF sample (Specimen) (Meningitis-Encephalitis_Panel_Algorithm),undergoes,Bacterial culture (Diagnostic Procedure)
Patient risk factors (Finding) (Meningitis-Encephalitis_Panel_Algorithm),indicate,Cryptococcal antigen test (Diagnostic Procedure)
Meningitis suspicion (Disease or Syndrome) (Meningitis-Encephalitis_Panel_Algorithm),requires,Blood cultures (Diagnostic Procedure)
CSF testing available on-site (Finding) (Meningitis-Encephalitis_Panel_Algorithm),requires,"Streptococcus pneumoniae antigen test, HSV PCR, Enterovirus/Rhinovirus PCR, CMV PCR, VZV PCR (Diagnostic Procedure)"
Positive pathogen test (Finding) (Meningitis-Encephalitis_Panel_Algorithm),prompts,Pathogen-specific infection management (Therapeutic or Preventive Procedure)
Positive pathogen test (Finding) (Meningitis-Encephalitis_Panel_Algorithm),prompts,Patient reevaluation (Health Care Activity)
Negative pathogen test (Finding) (Meningitis-Encephalitis_Panel_Algorithm),requires,Evaluation of CSF parameters (Diagnostic Procedure)
CSF parameters do not suggest infection (Finding) (Meningitis-Encephalitis_Panel_Algorithm),requires,Patient reevaluation (Health Care Activity)
CSF parameters suggest infection (Finding) (Meningitis-Encephalitis_Panel_Algorithm),requires,Patient reevaluation (Health Care Activity)
Immunocompromised state or recent antibiotic use (Finding) (Meningitis-Encephalitis_Panel_Algorithm),requires,Meningitis/Encephalitis Panel (Diagnostic Procedure)
Positive Meningitis/Encephalitis Panel result (Finding) (Meningitis-Encephalitis_Panel_Algorithm),prompts,Pathogen-specific infection management (Therapeutic or Preventive Procedure)
Positive Meningitis/Encephalitis Panel result (Finding) (Meningitis-Encephalitis_Panel_Algorithm),prompts,"Bacteria, Virus, Fungus, and Parasite Metagenomic Sequencing (Diagnostic Procedure)"
Negative Meningitis/Encephalitis Panel result (Finding) (Meningitis-Encephalitis_Panel_Algorithm),requires,Reevaluation (Health Care Activity)
CSF parameters suggest infection (Finding) (Meningitis-Encephalitis_Panel_Algorithm),requires,"Bacteria, Virus, Fungus, and Parasite Panel (Diagnostic Procedure)"
"Positive Bacteria, Virus, Fungus, and Parasite Panel result (Finding) (Meningitis-Encephalitis_Panel_Algorithm)",prompts,Pathogen-specific infection management (Therapeutic or Preventive Procedure)
Additional testing (Diagnostic Procedure) (Meningitis-Encephalitis_Panel_Algorithm),depends_on,"Clinical presentation, risk factors, CSF parameters, and patient history (Finding)"
Isolated elevation of malonylcarnitine (C3-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-DC-Isolated),requires,"Blood gas, glucose, electrolytes (Diagnostic Procedure)"
Isolated elevation of malonylcarnitine (C3-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-DC-Isolated),requires,"Organic Acids Screen, Random, Urine (Diagnostic Procedure)"
Isolated elevation of malonylcarnitine (C3-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-DC-Isolated),requires,"Acylcarnitines, Quantitative, Plasma/Serum (Diagnostic Procedure)"
Isolated elevation of malonylcarnitine (C3-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-DC-Isolated),suggests,Malonic aciduria (Disease or Syndrome)
Malonic aciduria (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C3-DC-Isolated),consider,"Custom Gene Panel, Next-Generation Sequencing (Diagnostic Procedure)"
Normal test results (Finding) (Newborn-Screen-Follow-up-Elevated-C3-DC-Isolated),stop,Further evaluation (Procedure)
Elevated C14:1 (Finding) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),initiates,Laboratory panel evaluation (Diagnostic Procedure)
Laboratory panel evaluation (Diagnostic Procedure) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),includes,"Plasma ammonia, blood gas, glucose, electrolytes, lactate, creatinine, kidney function tests (Diagnostic Procedure)"
Elevated C14:1 (Finding) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),requires,Evaluation for metabolic disease (Diagnostic Procedure)
Evaluation for metabolic disease (Diagnostic Procedure) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),includes,"Acylcarnitines, Quantitative, Plasma (Diagnostic Procedure)"
